Length,100,Time,0.005019,Method,0
Length,100,Time,0.005042,Method,0
Length,100,Time,0.005114,Method,0
Length,200,Time,0.075057,Method,0
Length,200,Time,0.044814,Method,0
Length,200,Time,0.045827,Method,0
Length,300,Time,0.166325,Method,0
Length,300,Time,0.165539,Method,0
Length,300,Time,0.166744,Method,0
Length,400,Time,0.411393,Method,0
Length,400,Time,0.411197,Method,0
Length,400,Time,0.412864,Method,0
Length,500,Time,0.851435,Method,0
Length,500,Time,0.840886,Method,0
Length,500,Time,0.835371,Method,0
Length,600,Time,3.046698,Method,0
Length,600,Time,3.011713,Method,0
Length,600,Time,3.058680,Method,0
Length,100,Time,0.004769,Method,1
Length,100,Time,0.004860,Method,1
Length,100,Time,0.004719,Method,1
Length,200,Time,0.037366,Method,1
Length,200,Time,0.037660,Method,1
Length,200,Time,0.038417,Method,1
Length,300,Time,0.129962,Method,1
Length,300,Time,0.128155,Method,1
Length,300,Time,0.126014,Method,1
Length,400,Time,0.292094,Method,1
Length,400,Time,0.295891,Method,1
Length,400,Time,0.293932,Method,1
Length,500,Time,0.576107,Method,1
Length,500,Time,0.577522,Method,1
Length,500,Time,0.608502,Method,1
Length,600,Time,0.995135,Method,1
Length,600,Time,0.996049,Method,1
Length,600,Time,0.996737,Method,1
Length,100,Time,0.005066,Method,2
Length,100,Time,0.005047,Method,2
Length,100,Time,0.005184,Method,2
Length,200,Time,0.042739,Method,2
Length,200,Time,0.042678,Method,2
Length,200,Time,0.042596,Method,2
Length,300,Time,0.146039,Method,2
Length,300,Time,0.149507,Method,2
Length,300,Time,0.146497,Method,2
Length,400,Time,0.392619,Method,2
Length,400,Time,0.391476,Method,2
Length,400,Time,0.392812,Method,2
Length,500,Time,0.792205,Method,2
Length,500,Time,0.824044,Method,2
Length,500,Time,0.810626,Method,2
Length,600,Time,3.004825,Method,2
Length,600,Time,2.997696,Method,2
Length,600,Time,2.979282,Method,2
Length,100,Time,0.005095,Method,3
Length,100,Time,0.005100,Method,3
Length,100,Time,0.005093,Method,3
Length,200,Time,0.049248,Method,3
Length,200,Time,0.049918,Method,3
Length,200,Time,0.049567,Method,3
Length,300,Time,0.179960,Method,3
Length,300,Time,0.180702,Method,3
Length,300,Time,0.182244,Method,3
Length,400,Time,1.244998,Method,3
Length,400,Time,1.232644,Method,3
Length,400,Time,1.238339,Method,3
Length,500,Time,4.931714,Method,3
Length,500,Time,4.986213,Method,3
Length,500,Time,5.032278,Method,3
Length,600,Time,9.185371,Method,3
Length,600,Time,9.162322,Method,3
Length,600,Time,9.198521,Method,3
Length,100,Time,0.004766,Method,4
Length,100,Time,0.004923,Method,4
Length,100,Time,0.004874,Method,4
Length,200,Time,0.038355,Method,4
Length,200,Time,0.040142,Method,4
Length,200,Time,0.037544,Method,4
Length,300,Time,0.126046,Method,4
Length,300,Time,0.126104,Method,4
Length,300,Time,0.126049,Method,4
Length,400,Time,0.301124,Method,4
Length,400,Time,0.299114,Method,4
Length,400,Time,0.300923,Method,4
Length,500,Time,0.589225,Method,4
Length,500,Time,0.588252,Method,4
Length,500,Time,0.590185,Method,4
Length,600,Time,1.015410,Method,4
Length,600,Time,1.015756,Method,4
Length,600,Time,1.008961,Method,4
Length,100,Time,0.005051,Method,5
Length,100,Time,0.005148,Method,5
Length,100,Time,0.005022,Method,5
Length,200,Time,0.049093,Method,5
Length,200,Time,0.048659,Method,5
Length,200,Time,0.048901,Method,5
Length,300,Time,0.181417,Method,5
Length,300,Time,0.181018,Method,5
Length,300,Time,0.180046,Method,5
Length,400,Time,1.232138,Method,5
Length,400,Time,1.242772,Method,5
Length,400,Time,1.236847,Method,5
Length,500,Time,4.857932,Method,5
Length,500,Time,4.902768,Method,5
Length,500,Time,4.926186,Method,5
Length,600,Time,9.253475,Method,5
Length,600,Time,9.295296,Method,5
Length,600,Time,9.320299,Method,5
