OBJECTID,WARD_NUM,Shape__Area,Shape__Length
1,58,207937114.788269,65856.4636927687
2,66,253162430.180664,68983.1661881441
3,63,109304994.980103,47427.3108432382
4,9,118001182.209106,51081.6853314058
5,56,98054455.3353271,46604.9630523671
6,50,41814992.2209473,30654.3419748436
7,57,95623019.5513306,49290.6150476655
8,10,32206168.0373535,27792.0044332127
9,64,47270096.8895874,41645.5898806916
10,22,57126052.1515503,35027.3876890038
11,35,65764582.8143311,39798.1057105732
12,61,46056581.5021973,36204.5653205832
13,53,35016719.852417,26426.8320255662
14,59,43960143.267395,32283.5397350931
15,17,36536421.8257446,30041.1422610533
16,49,40668643.4439697,34359.2051064097
17,54,24048386.6685791,22859.7140882217
18,12,42209144.6125488,32666.0512384933
19,62,38703222.3911743,26176.8385311049
20,42,48208335.3762817,33715.8098435634
21,23,59527592.3771362,43625.9413768409
22,13,36110705.8966675,28027.8463696678
23,43,28930368.1325684,22900.6223205343
24,7,47212724.527771,33879.9369912132
25,33,31509357.9881592,27462.1616559506
26,11,24380061.9080811,20317.6381223969
27,37,19323207.5603638,18785.6832751273
28,28,13660696.5041504,15357.2077905119
29,16,14103585.024231,17761.1359370211
30,32,22298041.1715088,25984.5239801898
31,34,74241592.8614502,39209.5435531038
32,20,15570803.5542603,15860.994319104
33,47,11499526.116333,15763.1186016119
34,4,20283931.0772705,20725.754819225
35,44,18925391.4698486,19242.2296838079
36,14,16034378.1912842,15980.4317882738
37,3,25343917.0311279,30429.7934926938
38,60,19108455.9940796,21644.1948957458
39,46,18782724.3184204,25157.5495968111
40,21,246970049.333801,77838.9542832172
41,65,139279572.629456,58153.4146781208
42,55,33589052.1817627,27965.9131915465
43,41,51482110.9921265,43083.0273727142
44,38,89816395.9797974,56223.2155362569
45,45,134440301.555176,52405.6043569828
46,52,128728682.25946,54580.3535393638
47,19,20399284.741394,22528.0586100576
48,25,32156599.9243164,25999.5361052518
49,31,33010127.9925537,26289.7191107999
50,18,31429362.3215332,26693.7136166518
51,29,23910298.8251953,29614.2614469372
52,6,23854263.4348755,22168.6320786948
53,24,34190759.8467407,24735.5525351786
54,15,14733302.1755981,18810.2191850787
55,5,73752128.7858887,40716.6039010415
56,8,36378400.4691772,29727.7092617909
57,27,44302203.6570435,33161.9591719899
58,51,27928431.6303101,28348.7822240604
59,30,17631479.3861694,19348.9753727322
60,2,28753241.6956177,24493.8292994696
61,36,37994473.4538574,31505.5927584472
62,40,295196233.123657,94848.8557738192
63,1,26567516.4750977,26664.0159024119
64,48,38194293.2438354,30791.6013410877
65,39,174180084.194275,53851.028622223
66,26,133350234.512146,52508.8229227897
